column,lower_limit,upper_limit,invalid_count,invalid_pct
tempsup_max,-30.0,40.0,5737,8.5372
tempsup_mean,-30.0,40.0,2931,4.3616
tempsup_min,-30.0,40.0,1532,2.2798
press_max,500.0,750.0,4,0.006
HR_min,0.0,100.0,1,0.0015
HR_max,0.0,100.0,0,0.0
HR_mean,0.0,100.0,0,0.0
HR_std,0.0,200.0,0,0.0
dir_max,0.0,360.0,0,0.0
dir_mean,0.0,360.0,0,0.0
dir_min,0.0,360.0,0,0.0
dir_std,0.0,200.0,0,0.0
pp_max,0.0,100.0,0,0.0
pp_min,0.0,100.0,0,0.0
pp_std,0.0,200.0,0,0.0
pp_sum,0.0,100.0,0,0.0
press_mean,500.0,750.0,0,0.0
press_min,500.0,750.0,0,0.0
press_std,0.0,200.0,0,0.0
radinf_max,150.0,500.0,0,0.0
radinf_mean,150.0,500.0,0,0.0
radinf_min,150.0,500.0,0,0.0
radinf_std,0.0,200.0,0,0.0
tempsup_std,0.0,200.0,0,0.0
vel_max,0.0,40.0,0,0.0
vel_mean,0.0,40.0,0,0.0
vel_min,0.0,40.0,0,0.0
vel_std,0.0,200.0,0,0.0
